TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,FCEVAPIN,FCEVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,MEATPAN,AMBLEFTTOP,AMBLEFT,AMBLEFTBOT,AMBRIGHTTOP,AMBRIGHT,AMBRIGHTBOT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC Evaporator Inlet,FC Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Meat Pan,Ambient Left Top,Ambient Left Middle,Ambient Left Bot,Ambient Right Top,Ambient Right Middle,Ambient Right Bot,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT,W Dispensing Heater
0:15:57,2,0.56,114.9,27.40,17.75,0.04151,60.00,26.59,60.30,89.99,-999.00,-999.00,0,4.78,21.84,25.30,28.65,27.88,26.68,24.08,61.61,60.20,58.97,57.79,91.29,90.00,89.11,91.09,90.01,89.13,102.77,186.57,128.41,129.39,102.39,151.50,177.60,30.7,1,2,58.92,32.00,16.13,56.84,88.54,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,7.00,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:16:48,2,0.56,114.9,27.40,17.69,0.04391,60.00,26.38,60.18,89.99,-999.00,-999.00,0,4.64,21.47,24.75,28.35,27.74,26.62,24.23,61.57,59.99,58.91,57.80,91.29,89.98,89.11,91.09,90.00,89.14,102.94,187.01,128.51,129.49,102.82,152.08,178.13,30.7,1,2,58.55,31.50,15.71,56.84,88.84,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,6.50,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:17:43,2,0.56,115.0,27.20,17.63,0.04643,60.00,26.20,60.11,90.01,-999.00,-999.00,0,4.55,21.13,24.22,28.04,27.60,26.56,24.32,61.54,59.83,58.91,57.83,91.31,90.00,89.13,91.11,90.01,89.15,103.13,187.40,128.51,129.52,103.21,152.57,178.46,30.6,1,2,58.15,30.84,15.26,56.84,88.77,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,5.80,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:18:29,2,0.56,114.9,27.20,17.67,0.04884,60.00,25.97,60.06,90.01,-999.00,-999.00,0,4.44,20.75,23.49,27.61,27.38,26.47,24.42,61.55,59.65,58.96,57.84,91.33,90.00,89.15,91.12,90.03,89.17,103.42,187.89,128.51,129.57,103.70,153.18,178.94,30.6,1,2,57.81,30.15,14.83,56.88,89.08,38.28,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,5.30,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:19:23,2,0.56,115.0,27.30,17.66,0.05136,60.00,25.66,60.01,90.01,-999.00,-999.00,0,4.27,20.26,22.74,27.14,27.11,26.33,24.47,61.52,59.49,58.99,57.84,91.34,90.01,89.16,91.13,90.04,89.20,103.75,188.54,128.50,129.59,104.26,153.86,179.44,30.6,1,2,57.54,29.56,14.40,56.84,88.86,38.28,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,4.80,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:20:08,2,0.56,114.9,27.10,17.55,0.05377,60.00,25.40,59.99,90.05,-999.00,-999.00,0,4.17,19.87,22.27,26.81,26.91,26.22,24.50,61.50,59.44,59.03,57.85,91.39,90.05,89.18,91.16,90.05,89.21,104.08,188.93,128.55,129.60,104.71,154.36,179.87,30.6,1,2,57.27,29.01,14.00,56.84,88.84,38.26,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,4.20,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:21:02,2,0.56,114.9,27.10,17.51,0.05617,60.00,25.13,59.97,90.06,-999.00,-999.00,0,4.00,19.46,21.60,26.34,26.63,26.07,24.46,61.49,59.34,59.07,57.84,91.41,90.06,89.21,91.18,90.06,89.22,104.36,189.22,128.43,129.51,105.19,154.82,180.25,30.6,1,2,56.89,28.40,13.44,56.84,88.90,38.20,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,3.70,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:21:53,2,0.56,115.0,27.00,17.48,0.05867,60.00,24.83,59.96,90.04,-999.00,-999.00,0,3.82,19.04,21.14,25.98,26.41,25.90,24.39,61.48,59.30,59.09,57.83,91.40,90.05,89.23,91.18,90.05,89.23,104.62,189.65,128.38,129.54,105.64,155.30,180.53,30.6,1,2,56.53,27.82,12.92,56.86,88.68,38.26,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,3.20,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:22:39,2,0.56,114.9,27.00,17.51,0.06107,60.00,24.54,59.96,90.07,-999.00,-999.00,0,3.64,18.62,20.52,25.49,26.06,25.72,24.29,61.47,59.27,59.14,57.81,91.42,90.06,89.25,91.20,90.08,89.26,104.94,190.01,128.36,129.47,106.19,155.80,180.80,30.6,1,2,56.22,27.32,12.46,56.84,88.90,38.16,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,2.80,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:23:30,2,0.56,115.0,26.90,17.48,0.06357,60.00,24.23,59.95,90.08,-999.00,-999.00,0,3.44,18.18,20.11,25.14,25.83,25.55,24.21,61.46,59.25,59.11,57.76,91.44,90.08,89.25,91.22,90.08,89.27,105.24,190.31,128.32,129.36,106.70,156.24,181.11,30.6,1,2,55.91,26.75,11.94,56.84,89.13,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,2.30,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:24:17,2,0.56,115.0,27.00,17.40,0.06595,60.00,23.92,59.93,90.08,-999.00,-999.00,0,3.19,17.73,19.52,24.65,25.48,25.32,24.04,61.42,59.23,59.15,57.70,91.45,90.09,89.27,91.23,90.09,89.29,105.53,190.61,128.25,129.39,107.17,156.67,181.40,30.5,1,2,55.62,26.19,11.44,56.84,89.13,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,1.80,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:25:12,2,0.56,114.9,26.90,17.34,0.06843,60.00,23.61,59.93,90.09,-999.00,-999.00,0,2.96,17.25,19.15,24.29,25.24,25.13,23.90,61.41,59.22,59.15,57.65,91.46,90.09,89.26,91.25,90.09,89.30,105.81,190.86,128.18,129.38,107.67,157.08,181.58,30.4,1,2,55.25,25.67,11.01,56.84,88.93,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,1.30,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:26:01,2,0.56,114.9,27.00,17.34,0.07081,60.00,23.26,59.90,90.08,-999.00,-999.00,0,2.70,16.80,18.55,23.78,24.84,24.84,23.65,61.37,59.19,59.14,57.57,91.46,90.09,89.26,91.24,90.07,89.30,106.08,191.13,128.03,129.16,108.19,157.44,181.77,30.4,1,2,54.97,25.23,10.63,56.84,89.10,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,0.90,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:26:46,2,0.56,114.9,26.80,17.19,0.07316,60.00,22.95,59.91,90.09,-999.00,-999.00,0,2.44,16.32,18.20,23.46,24.60,24.65,23.50,61.34,59.21,59.17,57.49,91.50,90.10,89.28,91.25,90.08,89.32,106.36,191.43,127.96,129.21,108.74,157.81,182.00,30.3,1,2,54.84,24.69,10.17,56.77,89.44,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,0.50,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:27:43,2,0.56,114.9,26.90,17.31,0.07561,60.00,22.62,59.89,90.10,-999.00,-999.00,0,2.18,15.80,17.67,22.97,24.21,24.36,23.22,61.29,59.20,59.17,57.39,91.52,90.11,89.29,91.27,90.10,89.34,106.65,191.61,127.91,129.14,109.31,158.17,182.15,30.3,1,2,54.61,24.15,9.70,56.68,89.58,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,0,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:28:26,2,0.56,114.9,26.80,17.14,0.07796,60.00,22.29,59.89,90.11,-999.00,-999.00,0,1.92,15.20,17.36,22.65,23.93,24.17,23.03,61.27,59.23,59.17,57.30,91.56,90.12,89.32,91.29,90.11,89.35,106.95,191.73,127.74,129.32,109.94,158.50,182.27,30.3,1,2,54.34,23.76,9.20,56.66,89.46,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,25.30,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:29:18,2,0.56,114.9,26.80,17.18,0.08042,60.00,22.04,59.90,90.14,-999.00,-999.00,0,1.73,14.66,17.03,22.35,23.71,23.99,22.85,61.26,59.25,59.19,57.22,91.59,90.14,89.34,91.30,90.15,89.36,107.18,191.94,127.61,129.32,110.54,158.76,182.41,30.3,1,2,54.10,23.29,8.76,56.66,89.15,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,24.90,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:30:10,2,0.56,115.0,26.50,17.16,0.08274,60.00,21.72,59.88,90.14,-999.00,-999.00,0,1.46,13.82,16.54,21.86,23.33,23.64,22.53,61.19,59.23,59.16,57.09,91.58,90.11,89.34,91.30,90.15,89.37,107.51,192.07,127.52,129.47,111.28,159.05,182.56,30.3,1,2,53.86,22.79,8.13,56.66,89.26,38.12,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,24.40,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
