,Log Name,rc_count,rc_mean,rc_std,rc_min,rc_25%,rc_50%,rc_75%,rc_max,fc_count,fc_mean,fc_std,fc_min,fc_25%,fc_50%,fc_75%,fc_max,fc evap_count,fc evap_mean,fc evap_std,fc evap_min,fc evap_25%,fc evap_50%,fc evap_75%,fc evap_max,pantry_count,pantry_mean,pantry_std,pantry_min,pantry_25%,pantry_50%,pantry_75%,pantry_max
117,Pre Processed - 143543.csv,1730.0,5.114261400128453,2.806833726234883,0.3222222222222213,2.9347222222222227,4.658333333333334,6.199999999999998,14.400000000000002,1730.0,-13.892973667308926,3.466564268169968,-17.92222222222222,-16.33888888888889,-14.894444444444446,-12.3,-2.5,1730.0,-20.17622350674374,8.404746298636814,-26.822222222222223,-24.641666666666673,-22.724999999999998,-18.645833333333336,34.46666666666667,1730.0,0.7558413615928068,1.3865808881975321,-0.0999999999999998,0.088888888888887,0.4222222222222211,0.7500000000000008,9.033333333333331
118,Pre Processed - 143544.csv,1730.0,4.2503500321130385,3.159936477212414,0.3999999999999994,1.7541666666666673,4.000000000000002,5.408333333333334,14.7,1730.0,-15.721001926782273,4.744283224040196,-19.000000000000004,-18.4,-17.605555555555554,-15.4,3.4999999999999987,1730.0,-20.002822736030833,9.509475438039432,-26.15,-24.25555555555556,-23.56666666666667,-20.527777777777782,30.67222222222222,1730.0,0.9717919075144509,1.8237306845450176,-0.0722222222222216,0.11388888888888993,0.4555555555555557,0.7833333333333314,10.022222222222222
119,Pre Processed - 143547.csv,1314.0,7.1745010992727885,1.9065831430688254,5.999999999999999,6.099999999999999,6.099999999999999,8.120833333333334,12.8,1314.0,-17.674577202773555,4.401307422867436,-19.6,-19.53888888888889,-19.5,-18.070833333333333,3.5999999999999983,1314.0,-24.89416539827499,7.227407458767655,-27.933333333333334,-27.261111111111116,-26.605555555555554,-25.991666666666667,30.9,1314.0,0.580162354134957,1.2366828997957662,-0.1999999999999997,0.0,0.3222222222222213,0.699999999999999,8.172222222222222
120,Pre Processed - 143558.csv,1339.0,1.1900049788399305,0.7991201714259568,0.0,0.4944444444444448,1.1999999999999982,1.7277777777777776,3.199999999999999,1339.0,-19.986362127624265,0.26565908232453084,-20.62777777777778,-20.177777777777777,-20.0,-19.8,-19.000000000000004,1339.0,-29.171836362127625,1.2323589039168803,-31.33888888888889,-29.977777777777774,-29.172222222222228,-28.9,-23.68888888888889,1339.0,0.29327026802754963,0.5591495439034918,-0.4999999999999992,-0.2055555555555551,0.2111111111111125,0.7666666666666682,1.3888888888888888
121,Pre Processed - 143559.csv,1339.0,2.1533275246867483,0.6736784153600075,1.0111111111111113,1.530555555555555,2.1722222222222203,2.7750000000000004,3.199999999999999,1339.0,-19.295290847232593,0.46703623130720034,-19.972222222222225,-19.78333333333333,-19.200000000000003,-18.96666666666667,-18.4,1339.0,-28.229545265953032,1.1051676329804228,-30.05555555555556,-28.905555555555555,-28.9,-27.275000000000002,-25.461111111111112,1339.0,0.2565513235416149,1.2334236013814968,-1.7999999999999992,-0.8833333333333333,0.2111111111111125,1.377777777777776,2.372222222222224
122,Pre Processed - 143560.csv,1339.0,2.024126628495561,0.7331954767230131,0.0,1.4444444444444453,2.03888888888889,2.6722222222222234,3.199999999999999,1339.0,-19.903954028711315,0.29442112599387316,-20.71666666666667,-19.988888888888887,-19.9,-19.9,-19.000000000000004,1339.0,-26.532242137581946,1.0789843604761313,-29.500000000000004,-27.15833333333333,-26.444444444444446,-25.73888888888889,-24.02777777777778,1339.0,0.2532860343539956,0.3856492323254623,-0.2999999999999995,-0.1222222222222216,0.1999999999999997,0.6277777777777792,0.9388888888888876
123,Pre Processed - 143562.csv,1729.0,3.4914883362251787,4.839109739278643,-1.7999999999999992,0.1222222222222216,1.6000000000000014,5.4833333333333325,20.827777777777776,1729.0,-12.671328963434227,7.6124581034931555,-18.800000000000004,-17.52777777777778,-16.172222222222224,-10.777777777777777,14.877777777777778,1729.0,-20.98370927318296,10.28896806374565,-28.9,-26.65555555555556,-24.58888888888889,-21.372222222222224,31.411111111111115,1729.0,1.1218912666281087,2.423663865852271,-0.2499999999999996,0.0222222222222217,0.4111111111111122,0.8166666666666661,16.81111111111111
124,Pre Processed - 143568.csv,1621.0,1.043577352800055,1.1368392804718075,0.0,0.1999999999999997,0.7111111111111118,1.6000000000000014,6.099999999999999,1621.0,-18.392281856193023,3.500474218786181,-19.5,-19.422222222222224,-19.4,-19.3,2.0722222222222206,1621.0,-23.600082253752824,6.215731147904523,-26.733333333333334,-25.244444444444444,-24.6,-24.177777777777777,30.261111111111116,1621.0,0.33679827267119067,0.8273530323446702,-0.4999999999999992,-0.1999999999999997,0.1722222222222235,0.6722222222222227,5.550000000000002
125,Pre Processed - 143569.csv,3461.0,1.5847892388198666,1.1507287323880189,0.127777777777776,1.4388888888888909,1.5000000000000016,1.5000000000000016,8.450000000000001,3461.0,-16.619533532376643,3.9874501871323758,-17.8,-17.5,-17.5,-17.38888888888889,12.5,3461.0,-23.95999068990979,5.240259950866672,-27.71111111111111,-24.844444444444445,-24.6,-24.6,34.527777777777786,3461.0,0.29563388872837004,0.5718026374458053,-0.0833333333333325,0.0999999999999998,0.0999999999999998,0.3333333333333341,4.977777777777779
126,Pre Processed - 143574.csv,1746.0,0.5607229222349497,1.3903337246065341,-0.9000000000000006,-0.4611111111111102,0.13611111111111163,0.9999999999999984,6.638888888888891,1746.0,-14.069737177039583,6.034024718855879,-19.58888888888889,-17.8,-16.8,-13.0,3.800000000000002,1746.0,-15.976024564082984,9.948541472656418,-25.4,-21.300000000000004,-19.11111111111111,-16.736111111111114,31.26111111111111,1746.0,0.697884052437317,0.8965383382311647,-0.1999999999999997,0.1222222222222216,0.5111111111111121,0.8388888888888878,5.0
127,Pre Processed - 143575.csv,1748.0,0.49261378082888374,1.3666500048675683,-0.9000000000000006,-0.3027777777777772,0.1888888888888908,0.8458333333333348,7.5,1748.0,-16.640182430714468,4.151984393176384,-19.6,-18.5,-17.68888888888889,-16.943055555555556,3.5999999999999983,1748.0,-19.138167429443172,6.91630572553783,-25.461111111111112,-22.03888888888889,-20.7,-18.740277777777777,29.47777777777778,1748.0,0.6227434528349858,0.778098381752454,-0.0999999999999998,0.0999999999999998,0.4888888888888903,0.8611111111111096,5.1
128,Pre Processed - 143581.csv,1704.0,1.3695715962441317,1.0521830544563768,0.0,0.6111111111111119,1.311111111111111,1.8277777777777773,5.799999999999999,1704.0,-18.96941510172144,3.4747863565583446,-20.8,-20.1,-19.9,-19.697222222222223,1.1999999999999982,1704.0,-27.547267866458007,7.284205202434515,-31.422222222222224,-29.8,-29.08888888888889,-28.544444444444444,32.427777777777784,1704.0,0.4017996870109548,0.8243166882284658,-0.4999999999999992,-0.1999999999999997,0.2611111111111105,0.8166666666666661,6.199999999999998
129,Pre Processed - 143582.csv,1708.0,2.119327348425709,1.0955759819446949,-0.038888888888889,1.400000000000002,2.033333333333333,2.76111111111111,6.600000000000001,1708.0,-18.029944054124382,4.37493656028699,-20.0,-19.8,-19.3,-18.7,6.099999999999999,1708.0,-26.316074681238618,7.303636122247077,-30.65,-28.9,-28.200000000000003,-26.608333333333334,29.188888888888894,1708.0,0.5180295342180589,1.7416112158723924,-1.900000000000001,-0.8333333333333334,0.3222222222222213,1.5444444444444452,9.8
130,Pre Processed - 143584.csv,1703.0,1.7996313694786978,1.1687929558951458,0.0,1.1111111111111112,1.6888888888888884,2.483333333333333,6.3000000000000025,1703.0,-18.49741306191688,4.571777520365412,-20.8,-19.988888888888887,-19.9,-19.594444444444445,6.016666666666666,1703.0,-25.18641939061786,7.741300898207764,-29.41111111111111,-27.888888888888893,-26.738888888888887,-25.69166666666667,32.9,1703.0,0.3961440595028381,0.7830928340520199,-0.344444444444445,-0.0888888888888889,0.2500000000000016,0.6722222222222227,5.1
131,Pre Processed - 143602.csv,1791.0,8.922929462125442,6.5965722917792915,2.411111111111113,3.5222222222222244,6.311111111111111,14.022222222222222,25.700000000000003,1791.0,-7.4678516036975005,7.505914083768076,-15.4,-14.769444444444446,-8.872222222222222,-2.5777777777777784,13.861111111111112,1791.0,-15.848408710217758,11.899994073814902,-26.4,-23.42777777777778,-21.4,-11.616666666666667,30.111111111111114,1791.0,2.5612382902165147,3.535226455619723,-0.038888888888889,0.3333333333333341,0.7888888888888899,3.977777777777776,16.322222222222223
132,Pre Processed - 143628.csv,1154.0,-1.3989505103023299,0.5202806840986614,-1.911111111111112,-1.7999999999999992,-1.5888888888888886,-1.2000000000000002,0.0,1154.0,-23.061168881186212,0.40041061617913615,-23.58888888888889,-23.35555555555556,-23.172222222222224,-22.93888888888889,-22.0,1154.0,-29.00766416329675,0.30958813053538803,-30.2,-28.9,-28.9,-28.9,-28.22222222222222,1154.0,3.035470826112074,0.18441646481355245,2.8,2.8999999999999995,3.0,3.099999999999999,3.4999999999999987
133,Pre Processed - 143629.csv,1153.0,6.821610291991906,1.2835806261265552,-0.7722222222222226,6.388888888888889,7.072222222222221,7.611111111111113,8.2,1153.0,-20.563693745783947,0.2705582266207501,-21.43888888888889,-20.57777777777778,-20.48888888888889,-20.4,-20.0,1153.0,-52.42607690083839,4.920238393136047,-78.27222222222221,-53.400000000000006,-53.400000000000006,-53.400000000000006,-39.3,1153.0,0.3664546593427773,0.3198026340302263,-0.0999999999999998,0.038888888888889,0.3611111111111103,0.6611111111111099,0.9222222222222204
134,Pre Processed - 143633.csv,3375.0,7.107400823045268,0.9029487177846304,0.5999999999999991,6.5555555555555545,7.11111111111111,7.650000000000002,11.044444444444446,3375.0,-15.320730864197532,2.495417402317108,-17.5,-16.155555555555555,-15.888888888888893,-15.4,5.699999999999999,3375.0,-20.91343703703704,4.6086841473050635,-23.450000000000003,-22.4,-21.700000000000003,-21.172222222222224,31.511111111111116,3375.0,0.49373827160493833,0.9735313889969509,-0.4888888888888884,-0.0722222222222216,0.3500000000000014,0.7999999999999988,7.899999999999999
135,Pre Processed - 143639.csv,1747.0,0.6048559435222286,1.2673026191325316,-0.9000000000000006,-0.2999999999999995,0.3111111111111124,0.9999999999999984,5.622222222222221,1747.0,-14.31721681612924,5.877620047041438,-19.6,-17.8,-16.883333333333333,-13.875,3.438888888888888,1747.0,-16.292005342491894,10.027446466079788,-25.28333333333333,-21.44166666666667,-19.383333333333333,-17.194444444444446,31.416666666666668,1747.0,0.7018698721618011,0.8741871995632642,-0.1999999999999997,0.1222222222222216,0.5277777777777793,0.8472222222222234,4.800000000000001
136,Pre Processed - 143640.csv,1756.0,0.488825613768666,1.3564394946469722,-0.9000000000000006,-0.3499999999999995,0.2111111111111125,0.8638888888888878,7.1000000000000005,1756.0,-16.696339534295117,4.229783845253854,-19.67222222222222,-18.602777777777778,-17.8,-17.031944444444445,3.4999999999999987,1756.0,-19.079865856745126,6.98060518799696,-25.22222222222222,-21.934722222222227,-20.772222222222226,-18.508333333333336,31.07777777777778,1756.0,0.6272241204758287,0.7689768374418164,-0.0999999999999998,0.0999999999999998,0.4999999999999992,0.8611111111111096,5.055555555555556
137,Pre Processed - 143645.csv,1728.0,1.4640464248971194,0.8669887137669521,0.0,0.7972222222222216,1.4555555555555542,2.000000000000001,3.199999999999999,1728.0,-19.99250578703704,0.2731450055928374,-20.822222222222223,-20.2,-19.966666666666665,-19.8,-19.044444444444444,1728.0,-28.526044881687245,1.544466851801286,-31.222222222222225,-29.54027777777778,-28.9,-27.48888888888889,-23.711111111111112,1728.0,0.2974987139917695,0.5430431285794612,-0.4999999999999992,-0.1999999999999997,0.2111111111111125,0.756944444444444,1.3555555555555543
138,Pre Processed - 143646.csv,1728.0,2.1520029578189304,0.6730348497052266,1.0111111111111113,1.548611111111111,2.1722222222222203,2.7680555555555544,3.199999999999999,1728.0,-19.46807163065844,0.42341962744061484,-20.0,-19.8,-19.700000000000003,-19.000000000000004,-18.5,1728.0,-27.997177211934158,1.161176177168665,-30.01111111111111,-28.9,-28.42222222222222,-26.948611111111113,-25.211111111111112,1728.0,0.23638117283950624,1.2457776300274674,-1.7999999999999992,-0.9222222222222224,0.1999999999999997,1.3569444444444438,2.4000000000000004
139,Pre Processed - 143647.csv,1728.0,2.1613908179012347,0.6324377666177122,1.0999999999999983,1.5888888888888886,2.1444444444444444,2.755555555555556,3.199999999999999,1728.0,-19.93393132716049,0.05913181767017035,-20.1,-20.0,-19.911111111111115,-19.9,-19.8,1728.0,-26.22429591049383,0.9247256113670504,-28.4,-26.91111111111111,-26.211111111111112,-25.426388888888887,-24.422222222222224,1728.0,0.2508969907407408,0.3828226033432338,-0.2999999999999995,-0.1124999999999998,0.1999999999999997,0.6111111111111119,0.9388888888888876
140,Pre Processed - 143663.csv,1653.0,0.8916784297909525,0.6416481228779137,0.0,0.3277777777777796,0.827777777777779,1.4388888888888909,2.0111111111111097,1653.0,-17.923677488741014,0.10872192336701489,-18.3,-18.0,-17.9,-17.8,-17.8,1653.0,-23.591601129259935,0.7670017045140434,-25.122222222222224,-24.38888888888889,-23.32777777777778,-22.98888888888889,-22.32777777777778,1653.0,0.29494521744975477,0.37051076312826975,-0.1999999999999997,-0.0444444444444435,0.255555555555556,0.650000000000001,0.9388888888888876
141,Pre Processed - 143677.csv,1218.0,-1.1830231709542052,0.9946645990776998,-2.000000000000001,-1.7999999999999992,-1.5111111111111106,-1.023611111111111,3.099999999999999,1218.0,-20.84417077175698,4.292859337514929,-22.4,-22.200000000000003,-21.9,-21.300000000000004,1.9111111111111097,1218.0,-25.8418035030104,8.42895316647476,-28.9,-28.78194444444444,-28.4,-27.788888888888888,32.34444444444445,1218.0,2.891607370917716,0.18159436895821948,0.0,2.8,2.872222222222223,2.933333333333334,4.000000000000002
142,Pre Processed - 143682.csv,1131.0,0.7692504175262794,1.4037234647379175,0.0,0.0,0.0999999999999998,0.8055555555555552,7.7,1131.0,-13.474152667256117,0.21866389318805138,-14.8,-13.477777777777778,-13.43888888888889,-13.4,-13.3,1131.0,-44.1954858041065,12.190106485085074,-78.34444444444443,-47.13055555555555,-44.97222222222223,-32.2,-30.450000000000003,1131.0,0.38299440023577963,0.30699912821267106,-0.0499999999999999,0.0555555555555563,0.3888888888888905,0.6638888888888891,0.9666666666666678
143,Pre Processed - 143683.csv,1594.0,1.4341070681723131,1.0657634909102431,0.0999999999999998,0.68888888888889,1.35,1.888888888888888,6.227777777777779,1594.0,-15.723354942144153,3.533199256750189,-19.3,-17.200000000000003,-17.0,-16.683333333333334,1.7000000000000013,1594.0,-24.396103443468565,6.628472750866928,-28.9,-26.555555555555557,-25.58888888888889,-24.8,32.86666666666667,1594.0,0.46267600724940744,0.6479261647949455,-0.2999999999999995,0.0222222222222217,0.3833333333333321,0.68888888888889,4.677777777777779
144,Pre Processed - 143684.csv,1174.0,1.9286816202915007,2.404877226686931,0.1999999999999997,0.3999999999999994,0.7999999999999988,2.4000000000000004,12.03888888888889,1174.0,-16.359450123036154,2.354143210493301,-17.5,-17.3,-17.17777777777778,-16.811111111111114,-3.4388888888888896,1174.0,-24.18189948892675,1.7351718899107955,-26.272222222222226,-24.78194444444444,-24.6,-24.222222222222225,-12.711111111111114,1174.0,0.3840384251372327,0.3113358337969883,-0.0999999999999998,0.0722222222222236,0.3722222222222232,0.6777777777777771,0.9500000000000004
145,Pre Processed - 143697.csv,1728.0,1.3184927983539096,0.8392590926735172,0.0,0.6444444444444426,1.3555555555555543,1.8444444444444448,3.199999999999999,1728.0,-20.009030992798355,0.36993504393535925,-20.83888888888889,-20.2,-20.0,-19.77638888888889,-19.02777777777778,1728.0,-28.800662294238684,1.389980266319916,-31.23888888888889,-29.68888888888889,-28.974999999999998,-28.53194444444444,-23.9,1728.0,0.2963091563786009,0.5513714167536917,-0.4999999999999992,-0.1999999999999997,0.2111111111111125,0.756944444444444,1.3611111111111127
146,Pre Processed - 143698.csv,1728.0,2.1575970936213995,0.6734761771091927,1.022222222222224,1.5499999999999996,2.175,2.7722222222222235,3.199999999999999,1728.0,-19.305838477366258,0.4656637507337912,-20.0,-19.72222222222222,-19.5,-18.9,-18.4,1728.0,-28.191136188271603,1.1031604190455513,-30.0,-28.9,-28.82222222222222,-27.22777777777778,-25.3,1728.0,0.25005787037037047,1.2331264053323763,-1.7999999999999992,-0.9111111111111114,0.1999999999999997,1.35,2.4000000000000004
